D¡a ;Mes ;Anio;Fc;Pto. Vta;Nro Compr.;Nombre del Cliente;CUIT;Alicuota (IVA);Neto ;IVA;IVA Percep;IIBB Percep;Act Vs Percep;Imp Internos;No Gravados;Exentos ;Total
9;4;2018;001-FACTURAS A;8340;386005;CABLEVISION S.A;30573652084;21% 0005;1249,91;262,48;0;0;0;0;37,49;0;1549,88
9;4;2018;001-FACTURAS A;8340;385495;CABLEVISION S.A;30573652084;21% 0005;768,6;161,41;0;0;0;0;0;0;930,01
9;4;2018;001-FACTURAS A;8340;385471;CABLEVISION S.A;30573652084;21% 0005;768,6;161,41;0;0;0;0;0;0;930,01
9;3;2018;001-FACTURAS A;8104;17474284;TELECON ARGENTINA S.A.;30639453738;27% 0006;222,62;60,11;0;0;0;0;0;0;282,73
9;3;2018;001-FACTURAS A;8102;17424936;TELECON ARGENTINA S.A.;30639453738;27% 0006;525,17;141,8;0;0;0;0;0;0;666,97
13;4;2018;001-FACTURAS A;101;524641;EDESA S.A.;30690633635;27% 0006;81,19;21,92;0;2,92;0;0;1229,38;0;1335,41
19;4;2018;001-FACTURAS A;101;512919;EDESA S.A.;30690633635;27% 0006;75,53;20,39;0;2,72;0;0;1012,86;0;1111,5
10;4;2018;001-FACTURAS A;101;520894;EDESA S.A.;30690633635;27% 0006;44,12;11,91;0;1,59;0;0;970,69;0;1028,31
10;4;2018;001-FACTURAS A;101;520902;EDESA S.A.;30690633635;27% 0006;360,17;97,25;0;12,97;0;0;909,74;0;1380,13
10;4;2018;001-FACTURAS A;101;520893;EDESA S.A.;30690633635;27% 0006;140,97;38,06;0;5,07;0;0;1013,93;0;1198,03
16;3;2018;001-FACTURAS A;101;514881;EDESA S.A.;30690633635;27% 0006;427,54;115,44;0;15,39;0;0;665,18;0;1223,55
17;4;2018;001-FACTURAS A;101;526250;EDESA S.A.;30690633635;27% 0006;628,1;169,59;0;22,61;0;0;720,76;0;1541,06
22;1;2018;001-FACTURAS A;1027;8275;ACINDAR INDUSTRIA ARGENTINA DE ACEROS S.A.;30501199253;21% 0005;55520,5;11659,3;1665,62;0;333,12;0;0;0;69178,54
7;2;2018;001-FACTURAS A;9990;45751;ACEROS ALFA S.A.;30515585415;21% 0005;27769,51;5831,6;0;0;0;0;0;0;33601,11
15;2;2018;001-FACTURAS A;9990;46013;ACEROS ALFA S.A.;30515585415;21% 0005;8799,43;1847,88;0;0;0;0;0;0;10647,31
8;2;2018;001-FACTURAS A;3;144;ANCEBA S.R.L.;30711823618;21% 0005;14820;3112,2;0;0;0;0;0;0;17932,2
2;2;2018;002-NOTAS DE DEBITO A;11;4529;A.D.BARBIERI S.A.;30639201232;21% 0005;41;8,61;0;0;0;0;0;0;49,61
9;3;2018;001-FACTURAS A;5;10692;BELLO CRISTINA ALICIA;27235841091;21% 0005;404,01;84,84;0;0;0;0;0;0;488,85
9;2;2018;001-FACTURAS A;1;215;CONSULTING GROUP S.R.L.;30711740208;21% 0005;13636,36;2863,64;0;0;0;0;0;0;16500
8;2;2018;001-FACTURAS A;2;65;ELIO ALBERTO CORBALAN;20270179917;21% 0005;6835,98;1435,56;0;0;0;0;0;0;8271,54
31;1;2018;001-FACTURAS A;21;129447;DURLOCK S.A.;30552816168;21% 0005;132721,79;27871,58;0;2388,99;0;0;0;0;162982,36
16;2;2018;001-FACTURAS A;21;130402;DURLOCK S.A.;30552816168;21% 0005;17057,79;3582,14;0;614,08;0;0;597,02;0;21851,03
28;3;2018;001-FACTURAS A;72;19475;ECCO S.A.;30602764032;10.5% 0004;1036,56;108,84;0;0;0;0;0;0;1145,4
20;2;2018;001-FACTURAS A;4;5400;FATERM;30707257357;21% 0005;184343,85;38712,21;0;0;0;0;0;0;223056,06
2;2;2018;001-FACTURAS A;10;47224;QUEIJA S.A.;30568731936;21% 0005;66447,71;13954,02;0;2392,12;0;0;0;0;82793,85
15;2;2018;003-NOTAS DE CREDITO A;10;12376;QUEIJA S.A.;30568731936;21% 0005;6032,4;1266,8;0;217,17;0;0;0;0;7516,37
14;1;2018;001-FACTURAS A;264;1306510;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;135481,8;28451,18;4064,46;0;582,58;0;0;0;168580,02
14;1;2018;001-FACTURAS A;264;130655;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;8041,7;1688,76;241,26;0;34,58;0;0;0;10006,3
14;1;2018;003-NOTAS DE CREDITO A;264;1587;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;12478,51;2620,49;374,37;0;53,67;0;0;0;15527,04
19;2;2018;001-FACTURAS A;256;5311;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;1805127,55;379076,79;54153,83;0;7762,05;0;0;0;2246120,22
25;2;2018;001-FACTURAS A;256;132841;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4159,5;873,5;124,79;0;17,89;0;0;0;5175,68
25;2;2018;001-FACTURAS A;256;132842;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;726628,83;152592,06;21798,87;0;3124,55;0;0;0;904144,31
25;2;2018;001-FACTURAS A;264;132843;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;207663;43609,23;6229,9;0;892,96;0;0;0;258395,09
25;2;2018;003-NOTAS DE CREDITO A;264;1695;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;18000;3780;540;0;77,4;0;0;0;22397,4
27;20;2018;002-NOTAS DE DEBITO A;256;213;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;250;52,5;0;0;1,08;0;0;0;303,58
28;2;2018;001-FACTURAS A;264;13306;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;216543,6;45474,15;6496,32;0;931,14;0;0;0;269445,21
28;2;2018;001-FACTURAS A;264;133012;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;12478,51;2620,49;374,37;0;53,67;0;0;0;15527,04
28;2;2018;003-NOTAS DE CREDITO A;264;1704;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;13200;2772;396;0;56,76;0;0;0;16424,76
4;3;2018;001-FACTURAS A;264;13324;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;288724,79;60632,21;8661,76;0;1241,52;0;0;0;359260,28
4;3;2018;001-FACTURAS A;264;133219;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4500;945;135;0;19,35;0;0;0;5599,35
4;3;2018;003-NOTAS DE CREDITO A;264;1712;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;13500;2835;405;0;58,05;0;0;0;16798,05
11;3;2018;001-FACTURAS A;264;133511;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;9000;1890;270;0;38,7;0;0;0;11198,7
11;3;2018;001-FACTURAS A;264;133512;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;86598;18185,58;2597,94;0;372,37;0;0;0;107753,89
11;3;2018;001-FACTURAS A;264;133513;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;288724,79;60632,21;8661,76;0;1241,52;0;0;0;359260,28
11;3;2018;003-NOTAS DE CREDITO A;264;1736;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;13200;2772;396;0;56,76;0;0;0;16424,76
23;2;2018;001-FACTURAS A;501;163171;LOMA NEGRA S.I.A.S.A.;30500530857;21% 0005;247002,87;51870,6;7410,09;0;0;0;0;0;306283,56
8;2;2018;003-NOTAS DE CREDITO A;501;68243;LOMA NEGRA S.I.A.S.A.;30500530857;21% 0005;13272,34;2787,19;0;0;0;0;0;0;16059,53
8;3;2018;001-FACTURAS A;501;164097;LOMA NEGRA S.I.A.S.A.;30500530857;21% 0005;164668,58;34580,4;4940,06;0;0;0;0;0;204189,04
9;3;2018;003-NOTAS DE CREDITO A;501;68710;LOMA NEGRA S.I.A.S.A.;30500530857;21% 0005;10220,67;2146,34;0;0;0;0;0;0;12367,01
17;3;2018;001-FACTURAS A;4;9627;OIEL S.R.L.;30681240493;21% 0005;128,4;26,96;4,62;0;0;0;0;0;159,98
1;2;2018;001-FACTURAS A;23;33763;PAREXKLAUKOL S.A.;30556095597;21% 0005;20492,8;4303,49;614,78;737,74;0;0;0;0;26148,81
2;2;2018;001-FACTURAS A;23;33780;PAREXKLAUKOL S.A.;30556095597;21% 0005;15369,6;3227,62;461,09;553,31;0;0;0;0;19611,62
2;2;2018;001-FACTURAS A;23;33781;PAREXKLAUKOL S.A.;30556095597;21% 0005;51820,8;10882,37;1554,62;1865,55;0;0;0;0;66123,34
2;2;2018;001-FACTURAS A;23;33782;PAREXKLAUKOL S.A.;30556095597;21% 0005;10364,16;2176,47;310,92;373,11;0;0;0;0;13224,66
8;2;2018;001-FACTURAS A;23;33887;PAREXKLAUKOL S.A.;30556095597;21% 0005;17731,2;3723,55;531,94;638,32;0;0;0;0;22625,01
8;2;2018;001-FACTURAS A;23;33888;PAREXKLAUKOL S.A.;30556095597;21% 0005;53859,2;11310,43;1615,78;1938,93;0;0;0;0;68724,34
9;2;2018;003-NOTAS DE CREDITO A;22;117017;PAREXKLAUKOL S.A.;30556095597;21% 0005;2609,83;548,06;0;0;0;0;0;0;3157,89
22;2;2018;003-NOTAS DE CREDITO A;22;117407;PAREXKLAUKOL S.A.;30556095597;21% 0005;5077,31;1066,24;0;0;0;0;0;0;6143,55
5;20;2018;001-FACTURAS A;3;103;TRANS-VEL S.R.L.;30714084425;21% 0005;11376,32;2389,03;0;0;0;0;0;0;13765,35
2;3;2018;003-NOTAS DE CREDITO A;9990;4231;ACEROSALFA S.A.;30515585415;21% 0005;1388,48;291,58;0;0;0;0;0;0;1680,06
2;3;2018;001-FACTURAS A;31;17463;AUTOPERFORANTES S.A.;30710204671;21% 0005;8955,84;1880,73;0;0;0;0;0;0;10836,57
2;3;2018;001-FACTURAS A;31;17464;AUTOPERFORANTES S.A.;30710204671;21% 0005;39282,82;8249,39;0;0;0;0;0;0;47532,21
6;3;2018;001-FACTURAS A;31;17563;AUTOPERFORANTES S.A.;30710204671;21% 0005;91887,28;19296,33;0;0;0;0;0;0;111183,61
8;3;2018;003-NOTAS DE CREDITO A;31;3109;AUTOPERFORANTES S.A.;30710204671;21% 0005;14012,59;2942,64;0;0;0;0;0;0;16955,23
7;11;2017;003-NOTAS DE CREDITO A;31;2772;AUTOPERFORANTES S.A.;30710204671;21% 0005;13715,47;2880,25;0;0;0;0;0;0;16595,72
16;3;2018;001-FACTURAS A;1010;214595;ACINDAR INDUSTRIA ARGENTINA DE ACEROS S.A.;30501199253;21% 0005;32403,15;6804,66;972,09;0;194,42;0;0;0;40374,32
17;3;2018;001-FACTURAS A;1008;37973;ACINDAR INDUSTRIA ARGENTINA DE ACEROS S.A.;30501199253;21% 0005;15513,37;3257,81;465,4;0;93,08;0;0;0;19329,66
2;3;2018;001-FACTURAS A;1027;8632;ACINDAR INDUSTRIA ARGENTINA DE ACEROS S.A.;30501199253;21% 0005;188357,87;39555,15;5650,74;0;1130,15;0;0;0;234693,91
21;3;2018;001-FACTURAS A;11;92770;A.D. BARBIERI S.A;30639201232;21% 0005;256787,11;53925,29;0;0;0;0;0;0;310712,4
21;3;2018;001-FACTURAS A;11;92771;A.D. BARBIERI S.A;30639201232;21% 0005;12849,02;2698,3;0;0;0;0;0;0;15547,32
