D­a ;Mes ;Anio;Fc;Pto. Vta;Nro Compr.;Nombre del Cliente;CUIT;Alicuota (IVA);Neto ;IVA;IVA Percep;IIBB Percep;Act Vs Percep;Imp Internos;No Gravados;Exentos ;Total
8;5;2018;001-FACTURAS A;8103;17589001;TELECON ARGENTINA S.A.;30639453738;27% 0006;222,0787402;59,96125984;0;0;0;0;0;0;282,04
15;5;2018;001-FACTURAS A;101;536413;EDESA S.A.;30690633635;27% 0006;92,34645669;24,93354331;0;3,32;0;0;1238,66;0;1359,26
10;5;2018;001-FACTURAS A;101;534833;EDESA S.A.;30690633635;27% 0006;51,56692913;13,92307087;0;1,86;0;0;978,65;0;1046
10;5;2018;001-FACTURAS A;101;533455;EDESA S.A.;30690633635;27% 0006;158,6220472;42,82795276;0;5,71;0;0;1021,89;0;1229,05
21;5;2018;001-FACTURAS A;101;540558;EDESA S.A.;30690633635;27% 0006;1972,582677;532,5973228;0;71,01;0;0;265,95;0;2842,14
23;4;2018;001-FACTURAS A;6364;449997;TELECOM PERSON AL S.A;30639453738;27% 0006;1384,590551;373,8394488;0;0;0;72,11;0;0;1830,54
23;4;2018;001-FACTURAS A;6364;47784;TELECOM PERSON AL S.A;30639453738;27% 0006;2475,440945;668,3690551;0;0;0;204,89;0;0;3348,7
23;4;2018;001-FACTURAS A;6364;47784;TELECOM PERSON AL S.A;30639453738;21% 0005;52,18181818;10,95818182;0;0;0;0;0;0;63,14
22;5;2018;001-FACTURAS A;6364;560065;TELECOM PERSON AL S.A;30639453738;27% 0006;2459,346457;664,0235433;0;0;0;204,23;0;0;3327,6
22;5;2018;001-FACTURAS A;6364;560065;TELECOM PERSON AL S.A;30639453738;21% 0005;50,23140496;10,54859504;0;0;0;0;0;0;60,78
22;5;2018;001-FACTURAS A;6364;562266;TELECOM PERSON AL S.A;30639453738;27% 0006;1372,031496;370,4485039;0;0;0;72,11;0;0;1814,59
24;4;2018;001-FACTURAS A;1027;9063;ACINDAR INDUSTRIA ARGENTINA DE ACEROS S.A.;30501199253;21% 0005;271664,6529;57049,57711;8149,94;0;1629,98;0;0;0;338494,15
24;4;2018;001-FACTURAS A;1008;38865;ACINDAR INDUSTRIA ARGENTINA DE ACEROS S.A.;30501199253;21% 0005;41598,94215;8735,777851;1247,97;0;249,59;0;0;0;51832,28
12;4;2018;001-FACTURAS A;21;134067;DURLOCK S.A.;30552816168;21% 0005;150430,6694;31590,44058;0;2707,75;0;0;0;0;184728,86
12;4;2018;001-FACTURAS A;21;134068;DURLOCK S.A.;30552816168;21% 0005;38479,60331;8080,716694;0;692,63;0;0;0;0;47252,95
18;4;2018;001-FACTURAS A;21;134483;DURLOCK S.A.;30552816168;21% 0005;12569,33058;2639,559421;0;226,25;0;0;0;0;15435,14
18;4;2018;001-FACTURAS A;21;134482;DURLOCK S.A.;30552816168;21% 0005;21757,7686;4569,131405;0;391,64;0;0;0;0;26718,54
18;4;2018;001-FACTURAS A;21;134481;DURLOCK S.A.;30552816168;21% 0005;150430,6694;31590,44058;0;2707,75;0;0;0;0;184728,86
26;3;2018;001-FACTURAS A;4;60871;ELECTRO MAYO S.A.;30688372085;10.5% 0004;911,5113122;95,70868778;0;0;0;0;0;0;1007,22
26;3;2018;001-FACTURAS A;4;60871;ELECTRO MAYO S.A.;30688372085;21% 0005;5680,770248;1192,961752;0;0;0;0;0;0;6873,732
26;3;2018;001-FACTURAS A;4;60870;ELECTRO MAYO S.A.;30688372085;10.5% 0004;1908;200,34;0;0;0;0;0;0;2108,34
26;3;2018;001-FACTURAS A;4;60870;ELECTRO MAYO S.A.;30688372085;21% 0005;4523,818182;950,0018182;0;0;0;0;0;0;5473,82
26;3;2018;001-FACTURAS A;4;60895;ELECTRO MAYO S.A.;30688372085;21% 0005;1547,520661;324,9793388;0;0;0;0;0;0;1872,5
11;4;2018;001-FACTURAS A;2;1438;PODOROSKA JUAN JOSE;20106021733;21% 0005;39604,04132;8316,848678;0;0;0;0;0;0;47920,89
18;5;2018;003-NOTAS DE CREDITO A;12;25695;ETERNIT;30500971041;21% 0005;947,1322314;198,8977686;0;0;0;0;0;0;1146,03
25;4;2018;001-FACTURAS A;3;32775;GRAZIOLI S.R.L.;33680021819;21% 0005;3654,363636;767,4163636;0;0;0;0;0;0;4421,78
19;5;2018;003-NOTAS DE CREDITO A;9;159371;FERRETERIA GENERAL PAZ S.R.L.;30707297154;21% 0005;1112,033058;233,5269421;0;0;0;0;0;0;1345,56
27;4;2018;001-FACTURAS A;4;18262;METALQUIMICA HIPER S.A.;30710575521;21% 0005;17865,23967;3751,700331;0;0;0;0;0;0;21616,94
8;4;2018;001-FACTURAS A;264;134989;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;433087,1901;90948,30992;12992,64;0;0;0;1862,28;0;538890,42
8;4;2018;001-FACTURAS A;264;134990;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;472763,9752;99280,43479;14182,93;0;0;0;2032,86;0;588260,2
8;4;2018;001-FACTURAS A;264;134954;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;82098;17240,58;2462,94;0;0;0;353,02;0;102154,54
10;4;2018;002-NOTAS DE DEBITO A;264;367;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;55960,80165;11751,76835;1678,82;0;0;0;240,63;0;69632,02
6;4;2018;003-NOTAS DE CREDITO A;264;1794;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4845,983471;1017,656529;145,38;0;20,84;0;0;0;6029,86
6;4;2018;003-NOTAS DE CREDITO A;264;1793;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;7268,966942;1526,483058;218,07;0;31,26;0;0;0;9044,78
8;4;2018;003-NOTAS DE CREDITO A;264;1804;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;9000;1890;270;0;38,7;0;0;0;11198,7
15;4;2018;001-FACTURAS A;264;135361;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;649630,7851;136422,4649;19488,96;0;2793,42;0;0;0;808335,63
15;4;2018;001-FACTURAS A;264;135362;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;796082,3884;167177,3016;23882,49;0;3423,11;0;0;0;990565,29
12;4;2018;003-NOTAS DE CREDITO A;264;1818;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4500;945;135;0;19,35;0;0;0;5599,35
12;4;2018;003-NOTAS DE CREDITO A;264;1817;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4200;882;126;0;18,06;0;0;0;5226,06
15;4;2018;003-NOTAS DE CREDITO A;264;1825;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;13500;2835;405;0;58,05;0;0;0;16798,05
22;4;2018;001-FACTURAS A;264;135748;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;512167,1901;107555,1099;15365,04;0;2202,32;0;0;0;637289,66
22;4;2018;001-FACTURAS A;264;135749;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;451596,6116;94835,28843;13547,9;0;1941,85;0;0;0;561921,65
18;4;2018;003-NOTAS DE CREDITO A;264;1836;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4500;945;135;0;19,35;0;0;0;5599,35
18;4;2018;003-NOTAS DE CREDITO A;264;1834;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4500;945;135;0;19,35;0;0;0;5599,35
17;4;2018;003-NOTAS DE CREDITO A;264;1832;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;13500;2835;405;0;58,05;0;0;0;16798,05
21;4;2018;003-NOTAS DE CREDITO A;264;1841;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4200;882;126;0;18,06;0;0;0;5226,06
30;4;2018;003-NOTAS DE CREDITO A;264;1863;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;4200;882;126;0;18,06;0;0;0;5226,06
30;4;2018;002-NOTAS DE DEBITO A;270;18585;HOLCIM ARGENTINA S.A.;30501111127;21% 0005;250;52,5;0;0;1,08;0;0;0;303,58
13;4;2018;001-FACTURAS A;23;38651;I.P.S.S.A.I.C.Y.F.;30535896379;21% 0005;9377,900826;1969,359174;0;0;0;0;0;0;11347,26
