D¡a ;Mes ;Anio;Fc;Pto. Vta;Nro Compr.;Nombre del Cliente;CUIT;Alicuota (IVA);Neto ;IVA;IVA Percep;IIBB Percep;Act Vs Percep;Imp Internos;No Gravados;Exentos ;Total
1;8;2017;082-TIQUE - FACTURA B;2;19434;CONSUMIDOR FINAL;20000000001;21% 0005;41,32;8,68;0;0;0;0;0;0;50
1;8;2017;082-TIQUE - FACTURA B;2;19435;CONSUMIDOR FINAL;20000000001;21% 0005;41,32;8,68;0;0;0;0;0;0;50
1;8;2017;082-TIQUE - FACTURA B;2;19436;CONSUMIDOR FINAL;20000000001;21% 0005;41,32;8,68;0;0;0;0;0;0;50
1;8;2017;082-TIQUE - FACTURA B;2;19437;CONSUMIDOR FINAL;20000000001;21% 0005;41,32;8,68;0;0;0;0;0;0;50
1;8;2017;082-TIQUE - FACTURA B;2;19438;CONSUMIDOR FINAL;20000000001;21% 0005;57,85;12,15;0;0;0;0;0;0;70
1;8;2017;082-TIQUE - FACTURA B;2;19439;CONSUMIDOR FINAL;20000000001;21% 0005;24,79;5,21;0;0;0;0;0;0;30
1;8;2017;082-TIQUE - FACTURA B;2;19440;CONSUMIDOR FINAL;20000000001;21% 0005;74,38;15,62;0;0;0;0;0;0;90
1;8;2017;082-TIQUE - FACTURA B;2;19441;CONSUMIDOR FINAL;20000000001;21% 0005;45,45;9,55;0;0;0;0;0;0;55
1;8;2017;082-TIQUE - FACTURA B;2;19442;CONSUMIDOR FINAL;20000000001;21% 0005;33,06;6,94;0;0;0;0;0;0;40
1;8;2017;082-TIQUE - FACTURA B;2;19443;CONSUMIDOR FINAL;20000000001;21% 0005;126,45;26,55;0;0;0;0;0;0;153
1;8;2017;082-TIQUE - FACTURA B;2;19444;CONSUMIDOR FINAL;20000000001;21% 0005;74,38;15,62;0;0;0;0;0;0;90
1;8;2017;082-TIQUE - FACTURA B;2;19445;CONSUMIDOR FINAL;20000000001;21% 0005;61,98;13,02;0;0;0;0;0;0;75
1;8;2017;082-TIQUE - FACTURA B;2;19446;CONSUMIDOR FINAL;20000000001;21% 0005;45,45;9,55;0;0;0;0;0;0;55
1;8;2017;082-TIQUE - FACTURA B;2;19447;CONSUMIDOR FINAL;20000000001;21% 0005;37,19;7,81;0;0;0;0;0;0;45
1;8;2017;082-TIQUE - FACTURA B;2;19448;CONSUMIDOR FINAL;20000000001;21% 0005;78,51;16,49;0;0;0;0;0;0;95
